Station ID,AQI,CO,Dew,Humidity,NO2,Pressure,PM10,PM2.5,Temperature,Wind,Data Time
11778,11.0,5.0,22.248210340256296,95.7,29.0,973.9535637149028,7.0,11.0,19.8,1.0,1/25/2021 18:00
12958,137.0,5.0,22.248210340256296,77.0,46.0,973.9535637149028,91.0,137.0,21.0,3.0,1/25/2021 19:00
12957,116.0,4.0,22.248210340256296,77.0,17.0,973.9535637149028,66.0,116.0,21.0,3.8,1/25/2021 19:00
13015,150.0,51.0,22.248210340256296,77.0,48.0,973.9535637149028,102.0,150.0,21.0,3.8,1/25/2021 18:00
13018,106.0,5.0,22.248210340256296,77.0,11.0,973.9535637149028,66.0,106.0,21.0,3.8,1/25/2021 18:00
13019,132.0,13.0,22.248210340256296,77.0,26.0,973.9535637149028,77.0,132.0,21.0,3.8,1/25/2021 18:00
13026,145.0,6.0,22.248210340256296,77.0,15.0,973.9535637149028,84.0,145.0,21.0,3.8,1/25/2021 18:00
1584,66.85816618911174,9.0,22.248210340256296,78.0,1.0,973.9535637149028,45.40338983050848,63.240613553113555,23.0,1.5,1/25/2021 19:00
1585,66.85816618911174,2.0,22.248210340256296,73.0,3.0,973.9535637149028,45.40338983050848,63.240613553113555,24.0,5.1,1/25/2021 19:00
13017,146.0,15.0,22.248210340256296,77.0,24.0,973.9535637149028,102.0,146.0,21.0,3.0,1/25/2021 18:00
13020,108.0,9.0,22.248210340256296,77.0,10.0,973.9535637149028,61.0,108.0,21.0,3.8,1/25/2021 18:00
13013,151.0,17.0,22.248210340256296,77.0,23.0,973.9535637149028,104.0,151.0,21.0,3.8,1/25/2021 18:00
13014,109.0,8.0,22.248210340256296,77.0,13.50085341365462,973.9535637149028,61.0,109.0,21.0,3.8,1/25/2021 18:00
13252,185.0,9.613503480278423,22.248210340256296,73.4,13.50085341365462,985.6,185.0,174.0,22.6,2.0,1/25/2021 19:00
8767,137.0,9.613503480278423,22.248210340256296,62.0,13.50085341365462,973.9535637149028,45.40338983050848,137.0,31.0,5.1,1/26/2021 16:00
8688,130.0,9.613503480278423,22.248210340256296,53.0,13.50085341365462,973.9535637149028,45.40338983050848,63.240613553113555,25.0,4.1,1/26/2021 16:00
8641,134.0,0.1,22.248210340256296,53.0,10.1,973.9535637149028,45.40338983050848,134.0,25.0,4.1,1/26/2021 16:00
13012,26.0,3.0,22.248210340256296,37.6,9.0,925.4,25.0,26.0,29.0,3.0,1/26/2021 16:00
12488,17.0,2.0,22.248210340256296,78.0,13.50085341365462,973.9535637149028,21.0,17.0,24.0,3.6,1/26/2021 15:00
13251,126.0,12.0,22.248210340256296,57.0,23.0,973.9535637149028,87.0,126.0,24.5,3.8,1/26/2021 15:00
12976,176.0,9.0,22.248210340256296,68.0,16.0,973.9535637149028,102.0,176.0,19.0,0.5,1/23/2021 11:00
13250,103.0,42.0,22.248210340256296,76.7,3.0,973.9535637149028,65.0,103.0,22.6,2.0,1/26/2021 16:00
5507,44.0,9.613503480278423,22.248210340256296,85.3,5.0,973.9535637149028,23.0,44.0,23.2,1.0,1/26/2021 15:00
11778,20.0,4.0,22.248210340256296,85.3,18.0,973.9535637149028,12.0,20.0,23.2,1.0,1/26/2021 15:00
12958,75.0,2.0,22.248210340256296,53.0,10.0,973.9535637149028,55.0,75.0,25.0,4.1,1/26/2021 16:00
12957,92.0,3.0,22.248210340256296,57.0,4.0,973.9535637149028,59.0,92.0,24.5,3.8,1/26/2021 16:00
13015,117.0,15.0,22.248210340256296,57.0,27.0,973.9535637149028,82.0,117.0,24.5,3.8,1/26/2021 15:00
13018,73.0,4.0,22.248210340256296,57.0,11.0,973.9535637149028,51.0,73.0,24.5,3.8,1/26/2021 15:00
13019,86.0,6.0,22.248210340256296,57.0,25.0,973.9535637149028,56.0,86.0,24.5,3.8,1/26/2021 15:00
13026,104.0,5.0,22.248210340256296,57.0,22.0,973.9535637149028,64.0,104.0,24.5,3.8,1/26/2021 14:00
1584,66.85816618911174,3.0,22.248210340256296,78.0,1.0,973.9535637149028,45.40338983050848,63.240613553113555,24.0,4.6,1/26/2021 16:00
1585,66.85816618911174,1.0,22.248210340256296,61.0,2.0,973.9535637149028,45.40338983050848,63.240613553113555,27.0,8.2,1/26/2021 16:00
13017,113.0,8.0,22.248210340256296,57.0,14.0,973.9535637149028,83.0,113.0,24.5,3.8,1/26/2021 15:00
13020,66.85816618911174,5.0,22.248210340256296,57.0,8.0,973.9535637149028,47.0,71.0,24.5,3.8,1/26/2021 15:00
13013,117.0,8.0,22.248210340256296,57.0,20.0,973.9535637149028,69.0,117.0,24.5,3.8,1/26/2021 15:00
13014,79.0,6.0,22.248210340256296,57.0,13.50085341365462,973.9535637149028,55.0,79.0,24.5,3.8,1/26/2021 15:00
13252,188.0,9.613503480278423,22.248210340256296,75.8,13.50085341365462,987.8,186.0,188.0,19.8,2.0,1/26/2021 16:00
8767,117.0,9.613503480278423,22.248210340256296,60.0,13.50085341365462,973.9535637149028,45.40338983050848,117.0,30.5,4.6,1/27/2021 15:00
8688,97.0,9.613503480278423,22.248210340256296,60.0,13.50085341365462,973.9535637149028,45.40338983050848,63.240613553113555,23.0,2.5,1/27/2021 15:00
8641,109.0,0.2,22.248210340256296,60.0,15.6,973.9535637149028,45.40338983050848,109.0,23.0,2.5,1/27/2021 15:00
13012,14.0,2.0,22.248210340256296,48.9,3.0,925.2,14.0,14.0,28.6,2.0,1/27/2021 15:00
12488,66.85816618911174,1.0,22.248210340256296,78.0,13.50085341365462,973.9535637149028,21.0,17.0,24.0,3.6,1/27/2021 15:00
13251,87.0,13.0,22.248210340256296,60.0,19.0,973.9535637149028,71.0,87.0,23.0,3.0,1/27/2021 14:00
12976,67.0,2.0,22.248210340256296,60.0,9.0,973.9535637149028,53.0,67.0,23.0,2.5,1/27/2021 15:00
13250,63.0,41.0,22.248210340256296,84.0,1.0,973.9535637149028,63.0,28.0,20.4,3.0,1/27/2021 15:00
5507,45.0,9.613503480278423,22.248210340256296,80.0,5.0,973.9535637149028,26.0,45.0,21.8,1.0,1/27/2021 14:00
11778,22.0,6.0,22.248210340256296,80.0,18.0,973.9535637149028,13.0,22.0,21.8,1.0,1/27/2021 14:00
12958,142.0,5.0,22.248210340256296,60.0,34.0,973.9535637149028,77.0,142.0,23.0,2.5,1/27/2021 15:00
12957,106.0,4.0,22.248210340256296,60.0,5.0,973.9535637149028,60.0,106.0,23.0,2.5,1/27/2021 15:00
13015,88.0,48.0,22.248210340256296,60.0,50.0,973.9535637149028,58.0,88.0,23.0,3.0,1/27/2021 14:00
13018,71.0,4.0,22.248210340256296,60.0,13.0,973.9535637149028,47.0,71.0,23.0,3.0,1/27/2021 14:00
13019,63.0,5.0,22.248210340256296,60.0,21.0,973.9535637149028,46.0,63.0,23.0,3.0,1/27/2021 14:00
