,Station ID,AQI,CO,Dew,Humidity,NO2,Pressure,PM10,PM2.5,Temperature,Wind,Month
252,13012,11.0,1.0,21.4,76.7,2.0,922.5,10.0,11.0,25.8,1.0,7.0
253,13251,61.0,7.0,22.0,52.0,23.0,973.9535637149028,61.0,58.0,33.0,4.6,7.0
254,11778,16.0,1.0,26.6,96.0,7.0,996.6,16.0,14.0,27.3,1.0,7.0
255,8767,46.0,9.613503480278425,26.5,94.0,13.50085341365462,973.9535637149028,45.40338983050848,46.0,27.5,3.6,7.0
256,8688,38.0,9.613503480278425,26.0,100.0,13.50085341365462,999.0,45.40338983050848,38.0,26.0,2.5,7.0
257,13012,10.0,1.0,21.5,98.8,2.0,922.0,10.0,10.0,21.7,2.0,7.0
258,13251,60.0,17.0,27.0,94.0,13.50085341365462,973.9535637149028,56.0,60.0,28.0,0.5,7.0
259,8767,21.0,9.613503480278425,24.0,83.0,13.50085341365462,973.9535637149028,45.40338983050848,21.0,27.0,5.6,7.0
260,13251,74.0,8.0,28.0,91.5,13.50085341365462,973.9535637149028,58.0,74.0,29.5,2.5,7.0
261,8767,76.0,9.613503480278425,26.0,83.0,13.50085341365462,973.9535637149028,45.40338983050848,76.0,29.0,5.6,7.0
262,13251,37.0,2.0,23.0,47.0,13.50085341365462,995.5,37.0,32.0,36.0,2.5,7.0
263,11778,31.0,1.0,27.1,67.4,14.0,982.7,31.0,26.0,34.0,2.0,7.0
264,8767,25.0,9.613503480278425,26.5,76.5,13.50085341365462,973.9535637149028,45.40338983050848,25.0,31.0,6.4,7.0
265,8688,42.0,9.613503480278425,28.0,79.0,13.50085341365462,973.9535637149028,45.40338983050848,42.0,32.0,1.0,7.0
266,12488,66.85816618911174,6.0,21.0,39.0,13.50085341365462,973.9535637149028,45.40338983050848,63.24061355311356,37.0,6.6,7.0
267,13250,188.0,52.0,25.7,87.3,1.0,989.4,158.0,188.0,28.0,1.0,7.0
268,11778,23.0,1.0,27.2,89.0,6.0,987.4,23.0,18.0,29.2,2.0,7.0
269,13014,65.0,5.0,28.0,79.0,13.50085341365462,973.9535637149028,46.0,65.0,32.0,1.0,5.872389791183295
270,8767,59.0,9.613503480278425,26.5,85.5,13.50085341365462,973.9535637149028,45.40338983050848,59.0,29.0,6.6,8.0
271,13251,50.0,3.0,28.0,100.0,13.50085341365462,999.5,50.0,40.0,28.0,1.5,8.0
272,13250,8.0,62.0,28.2,71.1,1.0,985.1,8.0,8.0,34.2,1.0,8.0
273,13018,47.0,1.0,28.0,100.0,7.0,999.5,34.0,47.0,28.0,1.5,8.0
274,8767,53.0,9.613503480278425,25.5,79.0,13.50085341365462,973.9535637149028,45.40338983050848,53.0,29.5,6.9,8.0
